message;severity;node;stamp;topics;location
"received value is: 0.053000";"2";"/subscriber";"1570425828.631485752";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.052000";"2";"/subscriber";"1570425827.631491003";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.051000";"2";"/subscriber";"1570425826.631352240";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.050000";"2";"/subscriber";"1570425825.631468159";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.049000";"2";"/subscriber";"1570425824.630973818";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.048000";"2";"/subscriber";"1570425823.631471170";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.047000";"2";"/subscriber";"1570425822.630867385";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.046000";"2";"/subscriber";"1570425821.631163379";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.045000";"2";"/subscriber";"1570425820.630614195";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.044000";"2";"/subscriber";"1570425819.631069500";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.043000";"2";"/subscriber";"1570425818.630583297";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.042000";"2";"/subscriber";"1570425817.630958706";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.041000";"2";"/subscriber";"1570425816.630546704";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.040000";"2";"/subscriber";"1570425815.631341071";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.039000";"2";"/subscriber";"1570425814.630842242";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.038000";"2";"/subscriber";"1570425813.630564369";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.037000";"2";"/subscriber";"1570425812.631501741";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
"received value is: 0.036000";"2";"/subscriber";"1570425811.631055189";"/rosout";"/home/venkim/ros_ws/src/learning_ros/Part_1/minimal_nodes/src/minimal_subscriber.cpp:myCallback:13"
